order,1,2,3,4,5,6
1,18.45,5.8,13.94,0.72,9.91,11.18
2,11.45,7.17,11.93,3.88,16.09,9.48
3,3.21,5.48,19.77,7.43,4.99,19.12
4,16.77,4.79,1.8,16.11,6.59,13.94
5,8.68,4.01,19.98,4.38,10.98,11.97
6,4.31,18.99,15.12,1.91,0.98,18.69
7,18.31,7.87,9.84,0.79,15.42,7.77
8,4.77,8.77,4.27,12.59,7.59,22.01
9,16.24,14.8,1.42,7.22,11.64,18.68
10,14.54,13.44,15.92,4.09,10.9,1.11
11,1.01,1.17,22.79,6.98,16.13,11.92
12,12.33,14.95,2.85,2.03,25.72,2.12
13,5.62,19.05,15.07,0.67,3.36,16.23
14,16.28,11.77,11.75,4.44,4.65,11.11
15,12.14,12.11,6.79,13.5,13.23,2.23
16,3.96,13,18.22,2.45,10.07,12.3
17,1.19,8.28,24.23,12.97,12.6,0.73
18,4.25,2.09,1.34,18.21,15.01,19.1
19,5.71,5.38,10.08,12.99,1.29,24.55
20,14.3,5.98,6.88,7.56,5.79,19.49
21,12.32,16.53,14.13,5.74,0.56,10.72
22,3.6,11.48,3.81,14.2,11.71,15.2
23,1,19.78,9.55,6.51,3.54,19.62
24,12.24,11.79,1.41,13.74,6.78,14.04
25,11.52,15.77,16.29,6.15,10.24,0.03
26,16.83,15.32,13.54,2.84,6.82,4.65
27,10.52,4.76,10.86,14.32,9.82,9.72
28,15.16,1.81,7.36,8.56,11.43,15.68
29,18.25,13.53,2.21,3.94,3.09,18.98
30,12.76,16.66,15.03,7.91,3.82,3.82
31,19.06,4.21,3.32,20.14,6.96,6.31
32,14.12,4.9,12.77,18.36,2.47,7.38
33,13.97,7.9,5.53,2.38,3.02,27.2
34,8.81,3.4,2.52,29.74,6.94,8.59
35,1,20.01,18.97,1.78,11.07,7.17
36,8.36,7.02,8.76,14.65,20.92,0.29
37,3.84,2.61,19.3,10.82,22.71,0.72
38,5.04,16.33,16.17,5.23,13.7,3.53
39,9.09,13.44,1.26,3.65,12.75,19.81
40,2.39,21.94,6.96,8.37,17.73,2.61
41,12.85,5.48,17.1,1.22,20.67,2.68
42,1.26,6.82,3.32,22.86,1.28,24.46
43,8.67,1.64,1.24,9.58,33.24,5.63
44,18.59,16.05,2.83,12.78,3.45,6.3
45,6.32,17.11,14.21,5.57,9.33,7.46
46,15.01,9.82,7.55,10.22,3.27,14.13
47,1,1.53,3.36,10.19,13.6,30.32
48,19.75,3.26,3.55,19.54,5.51,8.39
49,15.16,9.54,15.28,6.93,4.79,8.3
50,5.56,5.13,4.49,7.37,24.87,12.58
51,1,23.04,5.84,10.72,1.93,17.47
52,19.92,0.8,5.6,6.57,5.7,21.41
53,4.88,17.6,16.67,3.37,10.43,7.05
54,7.48,10.56,14,5.92,8.79,13.25
55,10.43,10.27,8.73,6.7,18.98,4.89
56,19.67,12.17,3.08,7.74,15.26,2.08
57,16.97,5.2,3.54,4.09,9.21,20.99
58,5.89,7.23,1.79,24.64,6.36,14.09
59,5.36,15.35,11.59,17.51,8.43,1.76
60,4.07,12.56,6.17,17.16,15.01,5.03
61,2.73,6.54,24.3,5.25,2.56,18.62
62,9.31,8.6,14.58,12.57,12.21,2.73
63,18.67,1.3,8.31,1.05,13.58,17.09
64,11.25,6.29,21.14,11.13,0.5,9.69
65,7.98,20.46,3.65,5.68,10.21,12.02
66,3.54,7.35,1.22,10.41,30.46,7.02
67,3.54,4.4,20.46,12.2,17.42,1.98
68,17.98,9.08,1.88,15.84,2.07,13.15
69,1.41,1.17,28.08,7.54,13.35,8.45
70,18.83,11.74,12.33,4.44,0.63,12.03
71,7.74,14.15,11.9,13.29,12.44,0.48
72,5.14,11.55,1.08,17.58,6,18.65
73,14.69,7.92,11.08,3.85,6.89,15.57
74,19.51,5.43,8.32,5.97,17.66,3.11
75,2.9,15.03,20.56,4.42,4.17,12.92
76,6.58,10.07,17.99,8.92,13.95,2.49
77,10.03,15.36,16.86,1.74,1.3,14.71
78,10.56,6.27,20.18,10.32,1.18,11.49
79,19.8,8.95,1.7,15.31,0.76,13.48
80,13.98,0.92,16.38,16.94,4.5,7.28
81,5.52,10.15,8.23,13.1,20.59,2.41
82,9,16.32,11.74,4.12,16.59,2.23
83,14.88,14.69,12.69,1.52,14.75,1.47
84,4.36,1.11,9.44,18.41,11.42,15.26
85,2.17,7.73,23.49,14.66,2.98,8.97
86,11.44,6.55,11.17,3.17,26.34,1.33
87,12.66,6.11,17.5,9.51,9.07,5.15
88,18.43,12.91,2.27,11.16,8.73,6.5
89,4.77,16.01,10.88,16.51,2.73,9.1
90,17.78,8.21,9.54,4.99,13.24,6.24
91,2.18,14.52,14.25,3.59,13.79,11.67
92,9,10.66,17.6,5.18,12.06,5.5
93,6.83,20.16,3.47,3.7,21.71,4.13
94,1,1.74,10.62,19.3,6.08,21.26
95,5.25,19.45,4.33,18.48,12.07,0.42
96,18.69,8.24,16.1,7.26,2.41,7.3
97,8.45,18.35,3.32,2.97,3.41,23.5
98,8.17,18.34,4,2.13,17.09,10.27
99,5.38,10.36,4.09,19.48,19.77,0.92
100,11.58,3.33,7.22,21.32,9.06,7.49
101,6.36,11.01,13.72,1.41,6.33,21.17
102,10.72,6.28,18.1,7.76,9.54,7.6
103,9.47,4.98,2.94,26.29,13.91,2.41
