counts,1,2,3,4,5,6
40,0,0,0,0,0,0
39,0,0,0,0,0,1
38,0,0,0,0,0,0
37,0,0,0,0,0,0
36,0,0,0,0,1,0
35,0,0,0,0,0,0
34,0,0,0,0,1,0
33,0,0,0,0,1,0
32,0,0,0,0,1,0
31,0,0,0,0,1,1
30,0,0,0,0,0,0
29,0,0,0,0,0,0
28,0,0,0,0,0,0
27,0,0,0,0,0,0
26,0,0,0,0,1,0
25,0,0,0,0,1,0
24,0,0,0,0,0,0
23,0,0,0,0,2,1
22,0,0,0,0,5,4
21,0,3,7,2,5,1
20,0,0,2,0,1,1
19,1,6,7,1,1,6
18,4,7,4,4,5,3
17,8,10,8,4,8,4
16,8,9,7,8,7,8
15,10,7,6,8,2,6
14,7,6,5,6,11,7
13,9,9,9,10,8,7
12,9,13,11,6,12,9
11,9,9,7,6,15,4
10,6,4,8,5,8,6
9,12,9,9,9,6,8
8,5,10,6,11,6,13
7,7,10,8,8,12,8
6,15,10,10,15,6,11
5,13,11,9,12,6,10
4,8,9,14,13,13,6
3,10,2,10,12,9,15
2,7,15,16,16,10,14
1,12,4,4,6,10,14
