name,number,
wxc,18.45,
wxc,11.45,
wxc,3.21,
wxc,16.77,
wxc,8.68,
wxc,4.31,
wxc,18.31,
wxc,4.77,
wxc,16.24,
wxc,14.54,
wxc,1.01,
wxc,12.33,
wxc,5.62,
wxc,16.28,
wxc,12.14,
wxc,3.96,
wxc,1.19,
wxc,4.25,
wxc,5.71,
wxc,14.3,
wxc,12.32,
wxc,3.6,
wxc,1,
wxc,12.24,
wxc,11.52,
wxc,16.83,
wxc,10.52,
wxc,15.16,
wxc,18.25,
wxc,12.76,
wxc,6.31,
wxc,7.38,
wxc,27.2,
wxc,8.59,
wxc,7.17,
wxc,0.29,
wxc,0.72,
wxc,3.53,
wxc,19.81,
wxc,2.61,
wxc,2.68,
wxc,24.46,
wxc,5.63,
wxc,6.3,
wxc,7.46,
wxc,14.13,
wxc,30.32,
wxc,8.39,
wxc,8.3,
wxc,12.58,
wxc,17.47,
wxc,21.41,
wxc,7.05,
wxc,13.25,
wxc,4.89,
wxc,2.08,
wxc,20.99,
wxc,14.09,
wxc,1.76,
wxc,5.03,
wxc,2.56,
wxc,12.21,
wxc,13.58,
wxc,0.5,
wxc,10.21,
wxc,30.46,
wxc,17.42,
wxc,2.07,
wxc,13.35,
wxc,0.63,
wxc,12.44,
wxc,6,
wxc,6.89,
wxc,17.66,
wxc,4.17,
wxc,13.95,
wxc,1.3,
wxc,1.18,
wxc,0.76,
wxc,4.5,
wxc,20.59,
wxc,16.59,
wxc,14.75,
wxc,11.42,
wxc,2.98,
wxc,26.34,
wxc,9.07,
wxc,8.73,
wxc,2.73,
wxc,13.24,
wxc,3.59,
wxc,5.18,
wxc,3.7,
wxc,19.3,
wxc,18.48,
wxc,7.26,
wxc,2.97,
wxc,2.13,
wxc,19.48,
wxc,21.32,
wxc,1.41,
wxc,7.76,
wxc,26.29,
wxc,18.12,
wxc,5.7,
wxc,3.66,
wxc,4.07,
wxc,3.89,
wxc,8.7,
wxc,8.8,
wxc,5.76,
wxc,5.47,
wxc,2.31,
wxc,18.6,
wxc,5.78,
wxc,8.93,
wxc,1.86,
wxc,14.85,
wxc,5.96,
wxc,15.19,
wxc,9.35,
wxc,12.01,
wxc,12.09,
wxc,12.75,
wxc,10.66,
wxc,18.54,
wxc,4.79,
wxc,7.79,
wxc,4,
wxc,1.13,
wxc,2.7,
wxc,22.75,
wxc,9.67,
wxc,20.39,
wxc,1.3,
wxc,0.91,
wxc,9.65,
wxc,6.04,
wxc,2.64,
wxc,16.31,
wxc,1.07,
wxc,4.5,
wxc,15.58,
wxc,6.98,
wxc,8.68,
wxc,11.66,
wxc,0.9,
wxc,24.87,
wxc,10.15,
wxc,11.22,
wxc,7.74,
wxc,16.13,
wxc,22.33,
wxc,4.23,
wxc,8.07,
wxc,18.39,
wxc,3.27,
wxc,1.18,
wxc,19.78,
wxc,18.03,
wxc,21.25,
wxc,3.53,
wxc,12.11,
wxc,6.21,
wxc,5.31,
wxc,11.4,
wxc,17.01,
wxc,22.33,
wxc,20.65,
wxc,21.55,
wxc,4.57,
wxc,3.95,
wxc,10.59,
wxc,14.88,
wxc,19.44,
wxc,11.53,
wxc,15.54,
wxc,15.39,
wxc,17.35,
wxc,11.12,
wzy,5.8,
wzy,7.17,
wzy,5.48,
wzy,4.79,
wzy,4.01,
wzy,18.99,
wzy,7.87,
wzy,8.77,
wzy,14.8,
wzy,13.44,
wzy,1.17,
wzy,14.95,
wzy,19.05,
wzy,11.77,
wzy,12.11,
wzy,13,
wzy,8.28,
wzy,2.09,
wzy,5.38,
wzy,5.98,
wzy,16.53,
wzy,11.48,
wzy,19.78,
wzy,11.79,
wzy,15.77,
wzy,15.32,
wzy,4.76,
wzy,1.81,
wzy,13.53,
wzy,16.66,
wzy,19.06,
wzy,14.12,
wzy,13.97,
wzy,8.81,
wzy,1,
wzy,8.36,
wzy,3.84,
wzy,5.04,
wzy,9.09,
wzy,2.39,
wzy,12.85,
wzy,1.26,
wzy,8.67,
wzy,18.59,
wzy,6.32,
wzy,15.01,
wzy,1,
wzy,19.75,
wzy,15.16,
wzy,5.56,
wzy,1,
wzy,19.92,
wzy,4.88,
wzy,7.48,
wzy,10.43,
wzy,19.67,
wzy,16.97,
wzy,5.89,
wzy,5.36,
wzy,4.07,
wzy,18.62,
wzy,2.73,
wzy,17.09,
wzy,9.69,
wzy,12.02,
wzy,7.02,
wzy,1.98,
wzy,13.15,
wzy,8.45,
wzy,12.03,
wzy,0.48,
wzy,18.65,
wzy,15.57,
wzy,3.11,
wzy,12.92,
wzy,2.49,
wzy,14.71,
wzy,11.49,
wzy,13.48,
wzy,7.28,
wzy,2.41,
wzy,2.23,
wzy,1.47,
wzy,15.26,
wzy,8.97,
wzy,1.33,
wzy,5.15,
wzy,6.5,
wzy,9.1,
wzy,6.24,
wzy,13.79,
wzy,12.06,
wzy,21.71,
wzy,6.08,
wzy,12.07,
wzy,2.41,
wzy,3.41,
wzy,17.09,
wzy,19.77,
wzy,9.06,
wzy,6.33,
wzy,9.54,
wzy,13.91,
wzy,7.37,
wzy,21.2,
wzy,25.97,
wzy,31.55,
wzy,5.55,
wzy,10.96,
wzy,10.79,
wzy,26.34,
wzy,32.13,
wzy,21.84,
wzy,11.29,
wzy,1.45,
wzy,16.2,
wzy,10.7,
wzy,10.97,
wzy,7.33,
wzy,6.04,
wzy,2.85,
wzy,6.55,
wzy,12.77,
wzy,2.26,
wzy,7.1,
wzy,14.13,
wzy,4.5,
wzy,7.31,
wzy,22.03,
wzy,13.65,
wzy,3.22,
wzy,15.79,
wzy,12.09,
wzy,15.85,
wzy,20.01,
wzy,21.92,
wzy,15.44,
wzy,4.66,
wzy,2.01,
wzy,21.41,
wzy,1.39,
wzy,1.05,
wzy,8.04,
wzy,14.43,
wzy,3.64,
wzy,6.33,
wzy,20.67,
wzy,20.35,
wzy,11.18,
wzy,12.35,
wzy,1.14,
wzy,4.15,
wzy,5.76,
wzy,16.11,
wzy,5.61,
wzy,0.99,
wzy,18.4,
wzy,22.4,
wzy,3.15,
wzy,12.97,
wzy,11.97,
wzy,19.57,
wzy,7.83,
wzy,10.84,
wzy,15.01,
wzy,2.5,
wzy,13.72,
wzy,7.71,
wzy,4.88,
wzy,14.58,
wzy,19.19,
wzy,20.64,
wzy,14.26,
wzy,4.09,
wzy,8.6,
wzy,7,
wzy,11.34,
wzy,18.9,
wzy,8.92,
wzy,5.85,
gyd,13.94,
gyd,11.93,
gyd,19.77,
gyd,1.8,
gyd,19.98,
gyd,15.12,
gyd,9.84,
gyd,4.27,
gyd,1.42,
gyd,15.92,
gyd,22.79,
gyd,2.85,
gyd,15.07,
gyd,11.75,
gyd,6.79,
gyd,18.22,
gyd,24.23,
gyd,1.34,
gyd,10.08,
gyd,6.88,
gyd,14.13,
gyd,3.81,
gyd,9.55,
gyd,1.41,
gyd,16.29,
gyd,13.54,
gyd,10.86,
gyd,7.36,
gyd,2.21,
gyd,15.03,
gyd,4.21,
gyd,4.9,
gyd,7.9,
gyd,3.4,
gyd,20.01,
gyd,7.02,
gyd,2.61,
gyd,16.33,
gyd,13.44,
gyd,21.94,
gyd,5.48,
gyd,6.82,
gyd,1.64,
gyd,16.05,
gyd,17.11,
gyd,9.82,
gyd,1.53,
gyd,3.26,
gyd,9.54,
gyd,5.13,
gyd,23.04,
gyd,0.8,
gyd,17.6,
gyd,10.56,
gyd,10.27,
gyd,12.17,
gyd,5.2,
gyd,7.23,
gyd,15.35,
gyd,12.56,
gyd,2.73,
gyd,9.31,
gyd,18.67,
gyd,11.25,
gyd,7.98,
gyd,3.54,
gyd,3.54,
gyd,17.98,
gyd,1.41,
gyd,18.83,
gyd,7.74,
gyd,5.14,
gyd,14.69,
gyd,19.51,
gyd,2.9,
gyd,6.58,
gyd,10.03,
gyd,10.56,
gyd,19.8,
gyd,13.98,
gyd,5.52,
gyd,9,
gyd,14.88,
gyd,4.36,
gyd,2.17,
gyd,11.44,
gyd,12.66,
gyd,18.43,
gyd,4.77,
gyd,17.78,
gyd,11.67,
gyd,5.5,
gyd,4.13,
gyd,21.26,
gyd,0.42,
gyd,7.3,
gyd,23.5,
gyd,10.27,
gyd,0.92,
gyd,7.49,
gyd,21.17,
gyd,7.6,
gyd,2.41,
gyd,7.08,
gyd,0.36,
gyd,5.23,
gyd,4.71,
gyd,29.04,
gyd,5.11,
gyd,0.5,
gyd,13.78,
gyd,7.85,
gyd,1.39,
gyd,0.78,
gyd,15.35,
gyd,1.55,
gyd,8.56,
gyd,4.48,
gyd,1.94,
gyd,13.22,
gyd,20.08,
gyd,11.04,
gyd,8.84,
gyd,2.39,
gyd,7.62,
gyd,17.53,
gyd,16.82,
gyd,15.12,
gyd,14.71,
gyd,3.91,
gyd,21.35,
gyd,3.62,
gyd,1.41,
gyd,11.11,
gyd,13.48,
gyd,3.16,
gyd,4.34,
gyd,25.88,
gyd,20.74,
gyd,10.3,
gyd,2.02,
gyd,6.01,
gyd,5.73,
gyd,1.48,
gyd,9.5,
gyd,16.84,
gyd,10.46,
gyd,11.71,
gyd,0.85,
gyd,3.02,
gyd,13.16,
gyd,1.43,
gyd,11.5,
gyd,0.82,
gyd,1.74,
gyd,4.74,
gyd,16.17,
gyd,15.68,
gyd,0.95,
gyd,2.8,
gyd,11.88,
gyd,15.08,
gyd,9.44,
gyd,14.91,
gyd,11.87,
gyd,8.34,
gyd,9.29,
gyd,9.41,
gyd,1.3,
gyd,0.72,
gyd,5.82,
gyd,8.06,
gyd,2.29,
gyd,17.77,
gyd,3.35,
gyd,12.75,
gyd,1.71,
gyd,1.86,
gyd,5.26,
gyd,1.96,
wkf,0.72,
wkf,3.88,
wkf,7.43,
wkf,16.11,
wkf,4.38,
wkf,1.91,
wkf,0.79,
wkf,12.59,
wkf,7.22,
wkf,4.09,
wkf,6.98,
wkf,2.03,
wkf,0.67,
wkf,4.44,
wkf,13.5,
